GeneID uniprot
3992 O60427
346528 Q8NGT9
4253 Q96PC5
158833 Q58HT5
10941 Q9Y4X1
10787 Q9Y2A7
79290 Q8NGR1
7101 Q9Y466
23774 O95696
79711 Q8TEX9
5583 P24723
345193 Q3SXY7
29802 Q9UKI3
389058 Q6BEB4
259173 Q60I27
131377 Q2TBA0
642517 Q5VTM2
3017 P62807
27006 Q9HCT0
7016 Q15569
10890 P61026
58530 O95868
441639 Q8NGE7
84181 Q8TD26
55187 Q5THJ4
6549 Q9UBY0
26002 Q6UVY6
343641 O95932
4166 Q9GZX3
5208 O60825
100506658 Q16625
8407 P37802
100130086 Q9UBD0
10744 Q9NZH5
26289 Q9Y6K8
7726 Q12899
8971 Q92522
8912 O95180
8812 O75909
51333 Q7L3S4
9240 Q8ND90
23089 Q86TG7
50838 Q9NYV9
84274 Q5HYK3
399687 Q92614
5455 P20264
2016 Q04741
100129128 Q5JSQ8
644414 P59861
125 P00325
134145 Q6P4H8
1733 P49895
4287 P54252
55679 Q7Z4I7
4978 Q14982
339665 Q6ICL7
56704 Q9HDC5
100133093 B3EWG3
93627 Q8TEA7
360203 Q7Z4J2
92283 Q8TAF7
115294 Q96MG8
50801 Q9NYG8
127534 Q9NTQ9
201232 Q7RTY0
9098 P35125
6277 P06703
80829 Q96JP5
79785 Q9H628
2997 P13807
58491 Q9NQZ8
2012 P54849
285220 Q9UF33
6899 O43435
91975 Q96RE9
5164 Q15119
11237 Q9Y225
26092 Q5JTV8
353513 O14598
26707 O76002
25800 Q13433
90522 Q5BJH7
29930 Q9Y5F3
7039 P01135
162514 Q8NET8
114131 Q969E3
151050 A0AUZ9
653319 Q68EN5
280664 Q8IUB3
128954 Q2WGN9
8808 Q9HB29
132720 Q8N8J7
23593 Q9Y5Z4
84706 Q8TD30
3467 P05000
11339 O43482
347517 Q5JT25
57574 Q9P2E8
5345 P08697
729262 A6NNL0
100101629 Q9UEU5
3702 Q08881
9962 Q9UGH3
9909 O75064
6637 P62308
10602 Q9UKI2
3126 P13762
8038 O43184
1438 P15509
54856 Q3T8J9
922 O43866
23547 P59901
23131 Q9UKJ3
201243 Q0P670
727905 Q5VU36
340554 Q5HYM0
5869 P61020
84191 Q9H5X1
3726 P17275
153657 Q6PF05
56300 Q9NZH8
145483 Q96MY7
3672 P56199
5139 Q14432
10246 O00624
3764 Q15842
284346 Q86XF7
339302 Q7Z7G2
1413 P53673
1559 P11712
4490 P07438
442319 A8MUV8
8239 Q93008
114884 Q9BXB5
100533496 Q96ET8
6249 P30622
123355 Q86X40
4143 Q00266
84749 Q70CQ3
27201 Q96P69
161497 Q7RTU9
5076 Q02962
51305 Q9NPC2
5698 P28065
102 O14672
9570 O14653
3579 P25025
5575 P31321
55683 Q9P2N6
10294 O60884
1635 P32321
115330 Q96CH1
65997 Q9BPW5
285381 Q96FX2
3361 P47898
3326 P08238
7352 P55916
9734 Q9UKV0
9313 O60882
9564 P56945
56157 Q9BXU3
9398 Q93033
51655 Q9Y272
1442 P0DML3
23476 O60885
64109 Q9HC73
51205 Q9NPH0
4780 Q16236
23635 P81877
255403 Q3SXZ3
2077 P50548
28232 Q9UIG8
56929 Q96JP0
119032 Q96B45
84614 Q5TC79
54606 Q9NY93
145226 Q96NR8
344752 Q6P093
6421 P23246
8993 O75594
28512 Q9NYS0
54517 Q96PZ0
27121 Q9UBT3
392307 A6H8Z2
80063 Q5U623
3859 Q99456
56339 Q86U44
112724 Q8NBN7
7350 P25874
202 Q9Y4K1
84648 Q9BYE3
5325 Q9UM63
54498 Q9NWM0
79180 Q96C19
9355 P50458
2891 P42262
55208 Q6PH85
9415 O95864
9653 Q7LGA3
4105 P43360
7743 O75820
5178 Q9GZU2
2247 P09038
84290 Q96L46
157567 Q86W74
23143 Q9Y2L9
64116 Q9C0K1
54780 Q9NXX6
128077 Q8IVB5
347902 Q86SJ2
100505591 A6NJW4
286234 Q6ZUB1
744 Q15777
6360 O15467
345757 Q8TBP5
9534 O75437
10978 Q92989
23541 O76054
57592 Q8N1G0
10008 Q9Y6H6
5146 P51160
4738 Q15843
8531 P16989
155185 Q400G9
5352 O00469
23373 Q6UUV9
255877 Q8N143
148398 Q96NU1
5138 O00408
23309 O75182
55707 Q9NVZ3
149095 Q5T197
90196 Q8N2H4
127550 U3KPV4
51513 Q9Y603
7456 O43516
121006 A6NE01
6233 P62979
137886 Q14CS0
1769 Q96JB1
23094 O60292
57402 Q9HCY8
121601 Q32M45
159371 Q2M3R5
653784 Q6P582
134 P30542
6506 P43004
64651 Q96S65
54993 Q7Z7L9
344657 A6NIV6
1812 P21728
22881 Q9Y2G4
26056 Q9BXF6
10726 Q9Y266
144809 Q8N7L0
2358 P25090
4061 Q16553
2548 P10253
129049 Q2NKQ1
25865 Q9BZL6
3080 P36980
171482 Q8IZU1
114885 Q9BXB4
4659 O14974
3748 Q14003
7064 P52888
1750 P56179
5319 P04054
57231 Q9Y5W7
3909 Q16787
6217 P62249
7535 P43403
7311 P62987
83990 Q9BX63
284369 Q8N7X8
80223 Q6WKZ4
414301 Q8WTU0
959 P29965
65094 Q9H9V9
100526694 Q8IYR6
146439 A1A5D9
9861 Q15008
6199 Q9UBS0
6645 Q13425
221960 P86790
138805 Q8NGS4
140825 Q9BR09
